Date,Type,Actual,Lasso + Linear_Prediction,All Linear Models_Prediction,Linear + Random Forest_Prediction,All Tree Models_Prediction,All Models_Prediction
2005-11-01,Train,4.01871112688384,4.047083180564193,4.039682897153806,4.0174137575356905,4.0175028827288966,4.0285928899413515
2005-12-01,Train,3.99271926079001,4.02372046015401,4.0142837280303105,3.995035762818978,3.995406977858481,4.004845352944396
2006-01-01,Train,3.97091736251003,4.002314188786399,3.993585404999236,3.971712055030272,3.969539773430879,3.9815625892150575
2006-02-01,Train,3.9493697110308,3.982654595655153,3.9720439599723925,3.951875726161756,3.9511971945749114,3.9616205772736524
2006-03-01,Train,3.93424809496869,3.9662987454013945,3.9573557878682473,3.934772941974442,3.933007757628365,3.945181772748306
2006-04-01,Train,3.92231421526307,3.9538349359335814,3.940235101030505,3.923618459774931,3.924094475604479,3.932164788317492
2006-05-01,Train,3.9143105984524,3.945451290284128,3.9353035469612103,3.916135109387139,3.915224058307299,3.925263802634255
2006-06-01,Train,3.90956947719325,3.9396540265992446,3.928693253473186,3.910584176756604,3.9107147299706635,3.9197039917219243
2006-07-01,Train,3.90515630846171,3.9351553898979654,3.9243284180107096,3.9060201736082814,3.9059746347660114,3.9151515263883603
2006-08-01,Train,3.90331132773196,3.9332052647995637,3.9254399899828702,3.9038828300399206,3.9038460808146955,3.914643035398783
2006-09-01,Train,3.90064880751865,3.930652803484229,3.925516785978567,3.9012742811295658,3.901869921554505,3.913693353766536
2006-10-01,Train,3.89991735678913,3.9291332516805166,3.91973046416163,3.900436350941384,3.901402366706593,3.9105664154341113
2006-11-01,Train,3.89979157438469,3.92858336755487,3.9188080473206184,3.9000026467641895,3.9013768260600976,3.9100924366903578
2006-12-01,Train,3.89906708323026,3.928629493887761,3.921130102519467,3.899694127420222,3.8998620201737673,3.9104960613466173
2007-01-01,Train,3.90009518964265,3.9285095932645167,3.919905875804192,3.9003190591407764,3.9002233524035828,3.9100646141038875
2007-02-01,Train,3.90042309251543,3.9289376635289743,3.9188224118673656,3.9006933787201135,3.901668246937257,3.910245329402311
2007-03-01,Train,3.9024064305145,3.9300974966206885,3.9231012510474343,3.9030256022844467,3.9035116046295273,3.913306427838481
2007-04-01,Train,3.90496535495094,3.932756548923379,3.925442830176967,3.9055107071109805,3.905540606402031,3.915491718289499
